Provinsi,Ayam,Sapi,Telur,Bawang,Cabai
Aceh,26600,129890,21400,32453,39543
Sumut,29883,115930,18420,30290,35710
Sumbar,38490,124627,20437,27483,39393
Riau,31527,109657,22150,28800,41237
Kep Riau,32717,110057,24590,26337,45167
Jambi,29713,122360,20343,27537,35253
Bengkulu,33023,126317,20253,36033,38530
Sumsel,29810,123807,19817,37437,45587
Babel,33569,115812,21646,37946,56850
Lampung,28053,111673,19450,30320,36887
Banten,34370,115527,21393,35580,39010
Jabar,32170,122807,20367,33993,39273
DKI Jakarta,31387,124093,20670,38243,44310
Jawa Tengah,31107,114293,19443,32717,31633
DI Yogyakarta,31067,114310,19223,32527,31703
Jawa Timur,28837,108767,18563,31580,28250
Bali,32937,104600,18857,32147,27390
Nusa Tenggara Barat,36303,108110,19667,29540,28740
Nusa Tenggara Timur,37350,98247,23863,35540,44243
Kalimantan Barat,28023,123807,23193,36183,35043
Kalimantan Selatan,34467,128200,21763,36567,35167
Kalimantan Tengah,32430,123283,23540,38923,54090
Kalimantan Timur,32430,123283,23540,38923,54090
Kalimantan Utara,39107,103237,22987,41833,41013
Gorontalo,40870,110000,21143,40030,30903
Sulawesi Selatan,24313,101437,18773,32120,24867
Sulawesi Tenggara,31430,108623,21353,41260,33473
Sulawesi Tengah,25932,106268,21532,37396,29261
Sulawesi Utara,31007,97230,22960,42373,38450
Sulawesi Barat,32473,114030,18617,35453,28960
Maluku,36430,108477,32163,47060,56277
Maluku Utara,37350,112280,21680,52293,42487
Papua,37723,111277,33710,53143,49693
Papua Barat,36890,106787,29470,51200,48823
